league,country,club,sofa_id,fs_id,fs_slug,status,checked_by,note,lookup
Ligue 1,France,Auxerre,1646,MTLr36WA,auxerre,verified,v5-marker-position,verified (29 players matched),
Ligue 1,France,Angers,1684,SAlF91iL,angers,verified,v5-marker-position,verified (22 players matched),
Ligue 1,France,AS Monaco,1653,2PIvr8o4,monaco,verified,v5-marker-position,verified (26 players matched),
Ligue 1,France,Troyes,1652,fsfAHubD,troyes,verified,v5-marker-position,verified (23 players matched),
Ligue 1,France,Lorient,1656,jgNAYRGi,lorient,verified,v5-marker-position,verified (25 players matched),
Ligue 1,France,Le Havre,1662,CIEe04GT,le-havre,verified,v5-marker-position,verified (19 players matched),
Ligue 1,France,Le Mans,1672,ER0NeOOp,le-mans,verified,v5-marker-position,verified (24 players matched),
Ligue 1,France,Lille,1643,pfDZL71o,lille,verified,v5-marker-position,verified (28 players matched),
Ligue 1,France,Nice,1661,YagoQJpq,nice,verified,v5-marker-position,verified (24 players matched),
Ligue 1,France,Olympique Lyonnais,1649,2akflumR,lyon,verified,v5-marker-position,verified (28 players matched),
Ligue 1,France,Olympique de Marseille,1641,SblU3Hee,marseille,verified,v5-marker-position,verified (22 players matched),
Ligue 1,France,Paris FC,6070,0OEHEprs,paris-fc,verified,v5-marker-position,verified (25 players matched),
Ligue 1,France,Paris Saint-Germain,1644,CjhkPw0k,psg,verified,v5-marker-position,verified (21 players matched),
Ligue 1,France,RC Lens,1648,IBmris38,lens,verified,v5-marker-position,verified (25 players matched),
Ligue 1,France,Stade Brestois,1715,Cr4VGaUl,brest,verified,v5-marker-position,verified (20 players matched),
Ligue 1,France,Stade Rennais,1658,d2nnj1IE,rennes,verified,v5-marker-position,verified (28 players matched),
Ligue 1,France,RC Strasbourg,1659,nP6UzIU1,strasbourg,verified,v5-marker-position,verified (30 players matched),
Ligue 1,France,Toulouse,1681,MLmY2yB1,toulouse,verified,v5-marker-position,verified (23 players matched),
Liga Portugal,Portugal,Academico Viseu FC,3022,GrRgeTHo,academico-viseu,verified,v5-marker-position,verified (20 players matched),
Liga Portugal,Portugal,Casa Pia,36365,QFHt9Zgs,casa-pia,verified,v5-marker-position,verified (19 players matched),
Liga Portugal,Portugal,Estoril Praia,4500,htoKuYZl,estoril,verified,v5-marker-position,verified (19 players matched),
Liga Portugal,Portugal,CF Estrela Amadora,3035,hrYABE5k,estrela-da-amadora,verified,v5-marker-position,verified (20 players matched),
Liga Portugal,Portugal,FC Alverca,190328,roaMksQg,alverca,verified,v5-marker-position,verified (23 players matched),
Liga Portugal,Portugal,FC Arouca,25777,fJqfm7CG,arouca,verified,v5-marker-position,verified (23 players matched),
Liga Portugal,Portugal,Famalicao,49531,ABBgitC3,famalicao,verified,v5-marker-position,verified (22 players matched),
Liga Portugal,Portugal,FC Porto,3002,S2NmScGp,fc-porto,verified,v5-marker-position,verified (32 players matched),
Liga Portugal,Portugal,Gil Vicente,3010,CS0fFFd8,gil-vicente,verified,v5-marker-position,verified (26 players matched),
Liga Portugal,Portugal,CS Maritimo,3007,noguvetP,maritimo,verified,v5-marker-position,verified (23 players matched),
Liga Portugal,Portugal,Moreirense,3014,8d9NGt9H,moreirense,verified,v5-marker-position,verified (20 players matched),
Liga Portugal,Portugal,CD Nacional,3013,4ETLrR7n,nacional,verified,v5-marker-position,verified (20 players matched),
Liga Portugal,Portugal,Rio Ave,3036,jPzXLi4l,rio-ave,verified,v5-marker-position,verified (20 players matched),
Liga Portugal,Portugal,Santa Clara,3011,YmQyLBJf,santa-clara,verified,v5-marker-position,verified (22 players matched),
Liga Portugal,Portugal,Sporting Braga,2999,dpUer7ht,braga,verified,v5-marker-position,verified (25 players matched),
Liga Portugal,Portugal,Benfica,3006,zBkyuyRI,benfica,verified,v5-marker-position,verified (31 players matched),
Liga Portugal,Portugal,Sporting CP,3001,tljXuHBC,sporting-cp,verified,v5-marker-position,verified (31 players matched),
Liga Portugal,Portugal,Vitoria SC,3009,pQYVZyD2,vitoria-guimaraes,verified,v5-marker-position,verified (20 players matched),
Serie A,Italy,AC Milan,2692,8Sa8HInO,ac-milan,verified,v5-marker-position,verified (35 players matched),
Serie A,Italy,Monza,2729,4YSMlwj7,monza,verified,v5-marker-position,verified (27 players matched),
Serie A,Italy,Fiorentina,2693,Q3A3IbXH,fiorentina,verified,v5-marker-position,verified (26 players matched),
Serie A,Italy,AS Roma,2702,zVqqL0ma,as-roma,verified,v5-marker-position,verified (25 players matched),
Serie A,Italy,Atalanta,2686,8C9JjMXu,atalanta,verified,v5-marker-position,verified (33 players matched),
Serie A,Italy,Bologna,2685,0M9xNN8N,bologna,verified,v5-marker-position,verified (26 players matched),
Serie A,Italy,Cagliari,2719,SCGVmKHb,cagliari,verified,v5-marker-position,verified (29 players matched),
Serie A,Italy,Como,2704,ttyLthOA,como,verified,v5-marker-position,verified (27 players matched),
Serie A,Italy,Frosinone,2801,pfo9H1Wp,frosinone,verified,v5-marker-position,verified (26 players matched),
Serie A,Italy,Genoa,2713,d0PJxeie,genoa,verified,v5-marker-position,verified (27 players matched),
Serie A,Italy,Inter,2697,Iw7eKK25,inter,verified,v5-marker-position,verified (27 players matched),
Serie A,Italy,Juventus,2687,C06aJvIB,juventus,verified,v5-marker-position,verified (30 players matched),
Serie A,Italy,Lazio,2699,URcSl02h,lazio,verified,v5-marker-position,verified (28 players matched),
Serie A,Italy,Parma,2690,6DxlaxHN,parma,verified,v5-marker-position,verified (26 players matched),
Serie A,Italy,Sassuolo,2793,QDdvI0zl,sassuolo,verified,v5-marker-position,verified (34 players matched),
Serie A,Italy,SSC Napoli,2714,69Dxbc61,napoli,verified,v5-marker-position,verified (33 players matched),
Serie A,Italy,Torino,2696,MZFZnvX4,torino,verified,v5-marker-position,verified (25 players matched),
Serie A,Italy,Udinese,2695,rXw8YKDE,udinese,verified,v5-marker-position,verified (33 players matched),
Serie A,Italy,Lecce,2689,G8lYsMgU,lecce,verified,v5-marker-position,verified (26 players matched),
Serie A,Italy,Venezia,2688,MkPmVv50,venezia,verified,v5-marker-position,verified (34 players matched),
Pro League,Belgium,Cercle Brugge,2929,IXnm9vwh,cercle-brugge,verified,v5-marker-position,verified (19 players matched),
Pro League,Belgium,Club Brugge KV,2888,rgTHIK74,club-brugge,verified,v5-marker-position,verified (28 players matched),
Pro League,Belgium,KAA Gent,2903,MgkzUx7T,gent,verified,v5-marker-position,verified (25 players matched),
Pro League,Belgium,KRC Genk,2890,r3jWUIiN,genk,verified,v5-marker-position,verified (32 players matched),
Pro League,Belgium,KV Kortrijk,4858,2o6njvyG,kortrijk,verified,v5-marker-position,verified (25 players matched),
Pro League,Belgium,KVC Westerlo,2893,hYaM5Gqp,westerlo,verified,v5-marker-position,verified (19 players matched),
Pro League,Belgium,Lommel SK,5046,8EyXqyoo,lommel-sk,verified,v5-marker-position,verified (22 players matched),
Pro League,Belgium,Oud-Heverlee Leuven,2918,dYlTycNN,leuven,verified,v5-marker-position,verified (26 players matched),
Pro League,Belgium,RAAL La Louviere,368506,K0H6jm7P,raal-la-louviere,verified,v5-marker-position,verified (27 players matched),
Pro League,Belgium,Royal Antwerp FC,2889,rVpPxw8H,antwerp,verified,v5-marker-position,verified (22 players matched),
Pro League,Belgium,RC Sporting Charleroi,2898,WIPDJ0hb,charleroi,verified,v5-marker-position,verified (27 players matched),
Pro League,Belgium,RSC Anderlecht,2900,vslqAKNo,anderlecht,verified,v5-marker-position,verified (26 players matched),
Pro League,Belgium,SK Beveren,4859,QaqfE8WE,sk-beveren,verified,v5-marker-position,verified (19 players matched),
Pro League,Belgium,Sint-Truidense VV,2895,d2EjBxMM,st-truiden,verified,v5-marker-position,verified (21 players matched),
Pro League,Belgium,Standard Liege,2901,vsnvCI6G,st-liege,verified,v5-marker-position,verified (29 players matched),
Pro League,Belgium,SV Zulte Waregem,2933,jPDfAdyT,waregem,verified,v5-marker-position,verified (24 players matched),
Pro League,Belgium,Royale Union Saint-Gilloise,4860,407h8Ird,royale-union-sg,verified,v5-marker-position,verified (30 players matched),
Pro League,Belgium,KV Mechelen,5044,ULVIb27i,kv-mechelen,verified,v5-marker-position,verified (29 players matched),
Eredivisie,Netherlands,ADO Den Haag,2966,lAgLCkT3,den-haag,verified,v5-marker-position,verified (24 players matched),
Eredivisie,Netherlands,AFC Ajax,2953,8UOvIwnb,ajax,verified,v5-marker-position,verified (29 players matched),
Eredivisie,Netherlands,AZ Alkmaar,2950,2RxOow1i,az-alkmaar,verified,v5-marker-position,verified (28 players matched),
Eredivisie,Netherlands,Excelsior,2967,nNlLsRUr,excelsior,verified,v5-marker-position,verified (24 players matched),
Eredivisie,Netherlands,FC Groningen,2951,MBUGcjb9,groningen,verified,v5-marker-position,verified (26 players matched),
Eredivisie,Netherlands,FC Twente,2955,dhOKTHGA,twente,verified,v5-marker-position,verified (27 players matched),
Eredivisie,Netherlands,FC Utrecht,2948,p6QXMgOj,utrecht,verified,v5-marker-position,verified (30 players matched),
Eredivisie,Netherlands,Feyenoord,2959,8zjySeoN,feyenoord,verified,v5-marker-position,verified (34 players matched),
Eredivisie,Netherlands,Fortuna Sittard,2957,YH8HX5iP,sittard,verified,v5-marker-position,verified (19 players matched),
Eredivisie,Netherlands,Go Ahead Eagles,2979,hG8POBb8,g-a-eagles,verified,v5-marker-position,verified (23 players matched),
Eredivisie,Netherlands,NEC Nijmegen,2962,nRluRF0T,nijmegen,verified,v5-marker-position,verified (28 players matched),
Eredivisie,Netherlands,PEC Zwolle,2971,r1L5w2EB,zwolle,verified,v5-marker-position,verified (22 players matched),
Eredivisie,Netherlands,PSV Eindhoven,2952,M9UEHJWi,psv,verified,v5-marker-position,verified (30 players matched),
Eredivisie,Netherlands,SC Cambuur,2970,QRyYgO7J,cambuur,verified,v5-marker-position,verified (25 players matched),
Eredivisie,Netherlands,SC Heerenveen,2964,EDjXSyWG,heerenveen,verified,v5-marker-position,verified (24 players matched),
Eredivisie,Netherlands,SC Telstar,2972,Aw0qTPat,telstar,verified,v5-marker-position,verified (20 players matched),
Eredivisie,Netherlands,Sparta Rotterdam,2960,KK4FaFV3,sparta-rotterdam,verified,v5-marker-position,verified (24 players matched),
Eredivisie,Netherlands,Willem II Tilburg,2961,6u3qag0G,willem-ii,verified,v5-marker-position,verified (18 players matched),
Ekstraklasa,Poland,Gornik Zabrze,3110,2LH3Ywq4,gornik-zabrze,verified,v5-marker-position,verified (25 players matched),
Ekstraklasa,Poland,Radomiak Radom,7295,zD5nYhAT,radomiak-radom,verified,v5-marker-position,verified (27 players matched),
Ekstraklasa,Poland,Wisla Plock,3122,QoZYVU3E,wisla-plock,verified,v5-marker-position,verified (26 players matched),
Ekstraklasa,Poland,Jagiellonia Bialystok,7691,lIDaZJTc,jagiellonia,verified,v5-marker-position,verified (29 players matched),
Ekstraklasa,Poland,Legia Warszawa,3106,K6kUepBs,legia,verified,v5-marker-position,verified (28 players matched),
Ekstraklasa,Poland,Motor Lublin,7915,IoLk2VlL,motor-lublin,verified,v5-marker-position,verified (27 players matched),
Ekstraklasa,Poland,Widzew Lodz,3115,rNOIW3uC,widzew-lodz,verified,v5-marker-position,verified (29 players matched),
Ekstraklasa,Poland,Lech Poznan,3121,OpNH7Ouf,lech-poznan,verified,v5-marker-position,verified (25 players matched),
Ekstraklasa,Poland,KS Cracovia,4901,KvXSf2A6,cracovia,verified,v5-marker-position,verified (28 players matched),
Ekstraklasa,Poland,GKS Katowice,3112,K4AgRmS1,gks-katowice,verified,v5-marker-position,verified (26 players matched),
Ekstraklasa,Poland,Wisla Krakow,3111,rob20Q2Q,wisla,verified,v5-marker-position,verified (29 players matched),
Ekstraklasa,Poland,Piast Gliwice,7918,ve2oT9ck,piast-gliwice,verified,v5-marker-position,verified (25 players matched),
Ekstraklasa,Poland,Zaglebie Lubin,3113,tlYOere0,zaglebie,verified,v5-marker-position,verified (33 players matched),
Ekstraklasa,Poland,Rakow Czestochowa,35268,SQOrbYim,rakow-czestochowa,verified,v5-marker-position,verified (26 players matched),
Ekstraklasa,Poland,Wieczysta Krakow,334956,ImhQf1z6,ks-wieczysta-krakow,verified,v5-marker-position,verified (25 players matched),
Ekstraklasa,Poland,Slask Wroclaw,3108,E1Oxemse,slask-wroclaw,verified,v5-marker-position,verified (27 players matched),
Ekstraklasa,Poland,MKS Korona Kielce,5065,pp78XcbA,korona-kielce,verified,v5-marker-position,verified (29 players matched),
Ekstraklasa,Poland,Pogon Szczecin,3117,Um9YwPQ0,pogon-szczecin,verified,v5-marker-position,verified (29 players matched),
Super Lig,Turkey,Alanyaspor,6362,IcN8oPcJ,alanyaspor,verified,v5-marker-position,verified (16 players matched),
Super Lig,Turkey,Amed Sportif Faaliyetler,207011,EHdgkFvm,amedspor,verified,v5-marker-position,verified (24 players matched),
Super Lig,Turkey,Besiktas JK,3050,IDmErJCR,besiktas,verified,v5-marker-position,verified (29 players matched),
Super Lig,Turkey,Caykur Rizespor,3064,EFRnJdkr,rizespor,verified,v5-marker-position,verified (24 players matched),
Super Lig,Turkey,Corum FK,77629,0vne21BK,corum-fk,verified,v5-marker-position,verified (23 players matched),
Super Lig,Turkey,Erzurumspor FK,55603,xQZ3CpVE,erzurumspor-fk,verified,v5-marker-position,verified (22 players matched),
Super Lig,Turkey,Eyupspor,7040,276zKCgt,eyupspor,verified,v5-marker-position,verified (15 players matched),
Super Lig,Turkey,Fenerbahce,3052,MsbmracL,fenerbahce,verified,v5-marker-position,verified (38 players matched),
Super Lig,Turkey,Galatasaray,3061,riaqqurF,galatasaray,verified,v5-marker-position,verified (33 players matched),
Super Lig,Turkey,Gaziantep FK,5138,ITkIKZ7q,gaziantep,verified,v5-marker-position,verified (17 players matched),
Super Lig,Turkey,Genclerbirligi,7802,,,TODO,,"Flashscore lists no squad for 'Ankara Demirspor' (likely a data gap, not a wrong match)",https://www.flashscore.pl/wyszukiwanie/?q=Genclerbirligi
Super Lig,Turkey,Goztepe,3054,0MJlDkrA,goztepe,verified,v5-marker-position,verified (22 players matched),
Super Lig,Turkey,Basaksehir FK,3086,YqP5NmC1,basaksehir,verified,v5-marker-position,verified (28 players matched),
Super Lig,Turkey,Kasimpasa,6063,dOlaIG4l,kasimpasa,verified,v5-marker-position,verified (29 players matched),
Super Lig,Turkey,Kocaelispor,3065,hfvQIzKf,kocaelispor,verified,v5-marker-position,verified (21 players matched),
Super Lig,Turkey,Konyaspor,3085,YazuCbCE,konyaspor,verified,v5-marker-position,verified (23 players matched),
Super Lig,Turkey,Samsunspor,3053,pSc6z7bf,samsunspor,verified,v5-marker-position,verified (25 players matched),
Super Lig,Turkey,Trabzonspor,3051,MmsYDc03,trabzonspor,verified,v5-marker-position,verified (32 players matched),
Bundesliga,Germany,1. FC Koln,2671,,,TODO,,"not a first team ('Kolonia K', marker 'k')",https://www.flashscore.pl/wyszukiwanie/?q=1.%20FC%20Koln
Bundesliga,Germany,Bayer 04 Leverkusen,2681,4jcj2zMd,bayer-leverkusen,verified,v5-marker-position,verified (39 players matched),
Bundesliga,Germany,FC Bayern Munchen,2672,nVp0wiqd,bayern-munich,verified,v5-marker-position,verified (31 players matched),
Bundesliga,Germany,Borussia Dortmund,2673,nP1i5US1,dortmund,verified,v5-marker-position,verified (28 players matched),
Bundesliga,Germany,Borussia M'gladbach,2527,88HSzjDr,b-monchengladbach,verified,v5-marker-position,verified (27 players matched),
Bundesliga,Germany,Eintracht Frankfurt,2674,8vndvXTk,eintracht-frankfurt,verified,v5-marker-position,verified (29 players matched),
Bundesliga,Germany,FC Augsburg,2600,fTVNku3I,augsburg,verified,v5-marker-position,verified (27 players matched),
Bundesliga,Germany,1. FSV Mainz 05,2556,EuakNmc1,mainz,verified,v5-marker-position,verified (30 players matched),
Bundesliga,Germany,Hamburger SV,2676,v9k3aY5F,hamburger,verified,v5-marker-position,verified (26 players matched),
Bundesliga,Germany,RB Leipzig,36360,KbS1suSm,rb-leipzig,verified,v5-marker-position,verified (29 players matched),
Bundesliga,Germany,SC Freiburg,2538,fiEQZ7C7,freiburg,verified,v5-marker-position,verified (28 players matched),
Bundesliga,Germany,SC Paderborn 07,2561,G2Op923t,paderborn,verified,v5-marker-position,verified (26 players matched),
Bundesliga,Germany,FC Schalke 04,2530,0Ija0Ej9,schalke,verified,v5-marker-position,verified (25 players matched),
Bundesliga,Germany,SV 07 Elversberg,2598,6in2Eknb,elversberg,verified,v5-marker-position,verified (26 players matched),
Bundesliga,Germany,TSG Hoffenheim,2569,hQAtP9Sl,hoffenheim,verified,v5-marker-position,verified (23 players matched),
Bundesliga,Germany,1. FC Union Berlin,2547,pzHW4oaE,union-berlin,verified,v5-marker-position,verified (33 players matched),
Bundesliga,Germany,VfB Stuttgart,2677,nJQmYp1B,vfb-stuttgart,verified,v5-marker-position,verified (33 players matched),
Bundesliga,Germany,SV Werder Bremen,2534,Ig1f1fy3,werder-bremen,verified,v5-marker-position,verified (29 players matched),
