Name,Position,Club,Country of the club,_league,_source
Tristen Batanwi,Obrońca,Coventry City,Anglia,Premier League,sofascore
Jorgen Strand Larsen,Napastnik,Crystal Palace,Anglia,Premier League,flashscore~fuzzy
Jesurun Rak-Sakyi,Pomocnik,Crystal Palace,Anglia,Premier League,sofascore
Caleb Kporha,Obrońca,Crystal Palace,Anglia,Premier League,sofascore
Charlie Walker-Smith,Obrońca,Crystal Palace,Anglia,Premier League,sofascore
Joel Catesby,Napastnik,Everton,Anglia,Premier League,sofascore
Vitaliy Mykolenko,Obrońca,Everton,Anglia,Premier League,sofascore
Michael Keane,Obrońca,Everton,Anglia,Premier League,sofascore
Jonah Kusi-Asare,Napastnik,Fulham,Anglia,Premier League,sofascore
Luke Harris,Pomocnik,Fulham,Anglia,Premier League,sofascore
Oli McBurnie,Napastnik,Hull City,Anglia,Premier League,sofascore
David Akintola,Napastnik,Hull City,Anglia,Premier League,flashscore~fuzzy
Calvin Okike,Obrońca,Hull City,Anglia,Premier League,sofascore
Ali Al-Hamadi,Napastnik,Ipswich Town,Anglia,Premier League,sofascore
Abdul Fatawu Issahaku,Napastnik,Ipswich Town,Anglia,Premier League,flashscore~fuzzy
Jaden Philogene-Bidace,Pomocnik,Ipswich Town,Anglia,Premier League,sofascore
Sammie Szmodics,Pomocnik,Ipswich Town,Anglia,Premier League,sofascore
Chiedozie Ogbene,Pomocnik,Ipswich Town,Anglia,Premier League,sofascore
Harry Clarke,Pomocnik,Ipswich Town,Anglia,Premier League,sofascore
Cameron Humphreys,Pomocnik,Ipswich Town,Anglia,Premier League,sofascore
Ben Johnson,Obrońca,Ipswich Town,Anglia,Premier League,sofascore
Largie Ramazani,Napastnik,Leeds United,Anglia,Premier League,sofascore
Mateo Joseph,Napastnik,Leeds United,Anglia,Premier League,sofascore
Joe Gelhardt,Pomocnik,Leeds United,Anglia,Premier League,sofascore
Rhys Chadwick-Chaplin,Pomocnik,Leeds United,Anglia,Premier League,sofascore
Oliver Pickles,Pomocnik,Leeds United,Anglia,Premier League,sofascore
Callum Mills,Pomocnik,Leeds United,Anglia,Premier League,sofascore
Freddie Lane,Pomocnik,Leeds United,Anglia,Premier League,sofascore
Sam Byram,Obrońca,Leeds United,Anglia,Premier League,sofascore
Joshua Abe,Napastnik,Liverpool FC,Anglia,Premier League,sofascore
Josh Sonni-Lambie,Napastnik,Liverpool FC,Anglia,Premier League,sofascore
Stefan Bajcetic,Pomocnik,Liverpool FC,Anglia,Premier League,sofascore
Conor Bradley,Obrońca,Liverpool FC,Anglia,Premier League,sofascore
Kostas Tsimikas,Obrońca,Liverpool FC,Anglia,Premier League,sofascore
Giovanni Leoni,Obrońca,Liverpool FC,Anglia,Premier League,sofascore
Mor Talla Ndiaye,Obrońca,Liverpool FC,Anglia,Premier League,flashscore~fuzzy
Ifeanyi Ndukwe,Obrońca,Liverpool FC,Anglia,Premier League,sofascore
Jack Grealish,Pomocnik,Manchester City,Anglia,Premier League,sofascore
Claudio Echeverri,Pomocnik,Manchester City,Anglia,Premier League,sofascore
Nico Gonzalez,Pomocnik,Manchester City,Anglia,Premier League,sofascore
Issa Kabore,Pomocnik,Manchester City,Anglia,Premier League,sofascore
Kalvin Phillips,Pomocnik,Manchester City,Anglia,Premier League,sofascore
Vitor Reis,Obrońca,Manchester City,Anglia,Premier League,sofascore
Max Alleyne,Obrońca,Manchester City,Anglia,Premier League,sofascore
Abdulay Juma Bah,Obrońca,Manchester City,Anglia,Premier League,sofascore
Josh Wilson-Esbrand,Obrońca,Manchester City,Anglia,Premier League,sofascore
Marcus Rashford,Napastnik,Manchester United,Anglia,Premier League,sofascore
Chido Obi-Martin,Napastnik,Manchester United,Anglia,Premier League,sofascore
JJ Gabriel,Napastnik,Manchester United,Anglia,Premier League,sofascore
Tynan Thompson,Napastnik,Manchester United,Anglia,Premier League,sofascore
Jim Thwaites,Pomocnik,Manchester United,Anglia,Premier League,sofascore
Matthijs de Ligt,Obrońca,Manchester United,Anglia,Premier League,sofascore
Diego Leon,Obrońca,Manchester United,Anglia,Premier League,sofascore
Matheos Ferreira,Napastnik,Newcastle United,Anglia,Premier League,sofascore
Bruno Guimaraes,Pomocnik,Newcastle United,Anglia,Premier League,sofascore
Rory Finneran,Pomocnik,Newcastle United,Anglia,Premier League,sofascore
Mason Miley,Pomocnik,Newcastle United,Anglia,Premier League,sofascore
Tino Livramento,Obrońca,Newcastle United,Anglia,Premier League,sofascore
Miodrag Pivas,Obrońca,Newcastle United,Anglia,Premier League,sofascore
Dylan Charlton,Obrońca,Newcastle United,Anglia,Premier League,sofascore
Luke Craggs,Obrońca,Newcastle United,Anglia,Premier League,sofascore
Kalum Thompson,Napastnik,Nottingham Forest,Anglia,Premier League,sofascore
Callum Hudson Odoi,Pomocnik,Nottingham Forest,Anglia,Premier League,sofascore
Chinaza Nwosu,Pomocnik,Nottingham Forest,Anglia,Premier League,sofascore
Jair,Obrońca,Nottingham Forest,Anglia,Premier League,sofascore
Nicolo Savona,Obrońca,Nottingham Forest,Anglia,Premier League,sofascore
Luis Semedo,Napastnik,Sunderland,Anglia,Premier League,sofascore
Finn Geragusyan,Napastnik,Sunderland,Anglia,Premier League,sofascore
Trey Samuel Ogunsuyi,Napastnik,Sunderland,Anglia,Premier League,sofascore
Simon Adingra,Pomocnik,Sunderland,Anglia,Premier League,sofascore
Chris Rigg,Pomocnik,Sunderland,Anglia,Premier League,sofascore
Abdoullah Ba,Pomocnik,Sunderland,Anglia,Premier League,sofascore
Tom Proctor,Pomocnik,Sunderland,Anglia,Premier League,sofascore
Charlie Dinsdale,Pomocnik,Sunderland,Anglia,Premier League,sofascore
Archie Lightfoot,Pomocnik,Sunderland,Anglia,Premier League,sofascore
Arthur Masuaku,Obrońca,Sunderland,Anglia,Premier League,sofascore
Aji Alese,Obrońca,Sunderland,Anglia,Premier League,sofascore
Ben Kindon,Obrońca,Sunderland,Anglia,Premier League,sofascore
Oyindamola Ajayi,Napastnik,Tottenham Hotspur,Anglia,Premier League,sofascore
Mohammed Kudus,Pomocnik,Tottenham Hotspur,Anglia,Premier League,sofascore
Dejan Kulusevski,Pomocnik,Tottenham Hotspur,Anglia,Premier League,sofascore
Yang Min-hyeok,Pomocnik,Tottenham Hotspur,Anglia,Premier League,sofascore
Reiss-Alexander Russell-Denny,Pomocnik,Tottenham Hotspur,Anglia,Premier League,sofascore
Cristian Romero,Obrońca,Tottenham Hotspur,Anglia,Premier League,flashscore~fuzzy
Andy Robertson,Obrońca,Tottenham Hotspur,Anglia,Premier League,sofascore
Ashley Phillips,Obrońca,Tottenham Hotspur,Anglia,Premier League,sofascore
Harry Byrne,Obrońca,Tottenham Hotspur,Anglia,Premier League,sofascore
Tyler Tingey,Obrońca,Tottenham Hotspur,Anglia,Premier League,sofascore
Alejandro Rego Mora,Obrońca,Athletic Club,Hiszpania,LaLiga,flashscore~fuzzy
Benat Prados,Pomocnik,Athletic Club,Hiszpania,LaLiga,flashscore~fuzzy
Unai Vencedor,Pomocnik,Athletic Club,Hiszpania,LaLiga,sofascore
Unai Eguiluz,Obrońca,Athletic Club,Hiszpania,LaLiga,sofascore
Iker Monreal Agundez,Obrońca,Athletic Club,Hiszpania,LaLiga,flashscore~fuzzy
Johaneko Louis Jean,Obrońca,Athletic Club,Hiszpania,LaLiga,sofascore
Carlos Martin,Napastnik,Atletico Madrid,Hiszpania,LaLiga,sofascore
Thomas Lemar,Pomocnik,Atletico Madrid,Hiszpania,LaLiga,sofascore
Jose Maria Gimenez,Obrońca,Atletico Madrid,Hiszpania,LaLiga,flashscore~fuzzy
Raul Garcia de Haro,Napastnik,Osasuna,Hiszpania,LaLiga,flashscore~fuzzy
Asier Bonel,Napastnik,Osasuna,Hiszpania,LaLiga,sofascore
Anai Morales,Pomocnik,Osasuna,Hiszpania,LaLiga,sofascore
Miguel Auria,Pomocnik,Osasuna,Hiszpania,LaLiga,sofascore
Bruno Perez,Pomocnik,Osasuna,Hiszpania,LaLiga,sofascore
Enzo Boyomo,Obrońca,Osasuna,Hiszpania,LaLiga,sofascore
Alex Jimenez,Obrońca,Osasuna,Hiszpania,LaLiga,sofascore
Abiel Osorio,Napastnik,Elche,Hiszpania,LaLiga,sofascore
Umaru Konare Tounkara,Napastnik,Elche,Hiszpania,LaLiga,sofascore
Federico Redondo,Pomocnik,Elche,Hiszpania,LaLiga,flashscore~fuzzy
Nordin Al Lal,Pomocnik,Elche,Hiszpania,LaLiga,sofascore
Rafael Nunez,Pomocnik,Elche,Hiszpania,LaLiga,sofascore
Alvaro Miralles Cebrian,Obrońca,Elche,Hiszpania,LaLiga,flashscore~fuzzy
Izei Hernandez,Napastnik,Deportivo Alaves,Hiszpania,LaLiga,sofascore
Abderrahman Rebbach,Pomocnik,Deportivo Alaves,Hiszpania,LaLiga,sofascore
Carlos Benavidez,Pomocnik,Deportivo Alaves,Hiszpania,LaLiga,sofascore
Selu Diallo,Pomocnik,Deportivo Alaves,Hiszpania,LaLiga,sofascore
Tomas Mendes,Pomocnik,Deportivo Alaves,Hiszpania,LaLiga,sofascore
Youssef Enriquez,Obrońca,Deportivo Alaves,Hiszpania,LaLiga,sofascore
Jonny Otto,Obrońca,Deportivo Alaves,Hiszpania,LaLiga,sofascore
Hugo Novoa,Obrońca,Deportivo Alaves,Hiszpania,LaLiga,flashscore~fuzzy
Nikola Maras,Obrońca,Deportivo Alaves,Hiszpania,LaLiga,sofascore
Xanet Olaiz,Obrońca,Deportivo Alaves,Hiszpania,LaLiga,sofascore
Roberto Fernandez,Napastnik,Espanyol,Hiszpania,LaLiga,flashscore~fuzzy
Marcos Fernandez,Napastnik,Espanyol,Hiszpania,LaLiga,flashscore~fuzzy
Javi Puado,Pomocnik,Espanyol,Hiszpania,LaLiga,sofascore
Edu Exposito,Pomocnik,Espanyol,Hiszpania,LaLiga,sofascore
Jofre Carreras,Pomocnik,Espanyol,Hiszpania,LaLiga,sofascore
Rafael Bauza,Pomocnik,Espanyol,Hiszpania,LaLiga,sofascore
Adama Timera,Obrońca,Espanyol,Hiszpania,LaLiga,sofascore
Ibrahim Diarra,Napastnik,FC Barcelona,Hiszpania,LaLiga,sofascore
Shane Kluivert,Napastnik,FC Barcelona,Hiszpania,LaLiga,sofascore
Alex Gonzalez,Napastnik,FC Barcelona,Hiszpania,LaLiga,sofascore
Fermin Lopez,Pomocnik,FC Barcelona,Hiszpania,LaLiga,sofascore
Toni Fernandez,Pomocnik,FC Barcelona,Hiszpania,LaLiga,sofascore
Tomas Marques,Pomocnik,FC Barcelona,Hiszpania,LaLiga,sofascore
Guillermo Fernandez,Pomocnik,FC Barcelona,Hiszpania,LaLiga,sofascore
Ebrima Tunkara,Pomocnik,FC Barcelona,Hiszpania,LaLiga,sofascore
Brian Farinas,Pomocnik,FC Barcelona,Hiszpania,LaLiga,sofascore
Hector Fort,Obrońca,FC Barcelona,Hiszpania,LaLiga,sofascore
Christantus Uche,Napastnik,Getafe,Hiszpania,LaLiga,sofascore
Yvan Neyou,Pomocnik,Getafe,Hiszpania,LaLiga,sofascore
Alberto Risco,Pomocnik,Getafe,Hiszpania,LaLiga,flashscore~fuzzy
George Andrews,Pomocnik,Getafe,Hiszpania,LaLiga,sofascore
Jean Ives Valou,Obrońca,Getafe,Hiszpania,LaLiga,flashscore~fuzzy
Juan Berrocal,Obrońca,Getafe,Hiszpania,LaLiga,sofascore
Gabriel Lozano,Obrońca,Getafe,Hiszpania,LaLiga,sofascore
Mady Macalou Soumano,Pomocnik,Getafe,Hiszpania,LaLiga,flashscore~fuzzy
Etta Eyong,Napastnik,Levante UD,Hiszpania,LaLiga,flashscore~fuzzy
Manel Usedo Domingo,Pomocnik,Levante UD,Hiszpania,LaLiga,sofascore
Alberto Calatrava,Pomocnik,Levante UD,Hiszpania,LaLiga,sofascore
Manuel Sanchez,Obrońca,Levante UD,Hiszpania,LaLiga,sofascore
Adrian de la Fuente,Obrońca,Levante UD,Hiszpania,LaLiga,sofascore
Unai Elgezabal,Obrońca,Levante UD,Hiszpania,LaLiga,flashscore~fuzzy
Marc Santos,Obrońca,Levante UD,Hiszpania,LaLiga,sofascore
Chupete,Napastnik,Malaga CF,Hiszpania,LaLiga,sofascore
Eneko Jauregi,Napastnik,Malaga CF,Hiszpania,LaLiga,sofascore
Juan Fernandez,Napastnik,Malaga CF,Hiszpania,LaLiga,sofascore
Carlos Dotor,Pomocnik,Malaga CF,Hiszpania,LaLiga,sofascore
Dani Lorenzo,Pomocnik,Malaga CF,Hiszpania,LaLiga,sofascore
Juanpe,Pomocnik,Malaga CF,Hiszpania,LaLiga,sofascore
Alex Pastor,Obrońca,Malaga CF,Hiszpania,LaLiga,sofascore
Moussa Diarra,Obrońca,Malaga CF,Hiszpania,LaLiga,sofascore
Rafa Garrido,Obrońca,Malaga CF,Hiszpania,LaLiga,sofascore
Oscar Gonzalez,Obrońca,Malaga CF,Hiszpania,LaLiga,sofascore
Juan Carlos Arana,Napastnik,Real Racing Club,Hiszpania,LaLiga,flashscore~fuzzy
Santi Franco,Napastnik,Real Racing Club,Hiszpania,LaLiga,sofascore
Pau Mascaro,Napastnik,Real Racing Club,Hiszpania,LaLiga,sofascore
Gabriel Jimenez Carpintero,Napastnik,Real Racing Club,Hiszpania,LaLiga,sofascore
Jorge Castellanos,Napastnik,Real Racing Club,Hiszpania,LaLiga,sofascore
Andres Vallecillo,Pomocnik,Real Racing Club,Hiszpania,LaLiga,sofascore
Manu Hernando,Obrońca,Real Racing Club,Hiszpania,LaLiga,sofascore
Hugo Ruiz,Obrońca,Real Racing Club,Hiszpania,LaLiga,sofascore
Hector Meija,Obrońca,Real Racing Club,Hiszpania,LaLiga,sofascore
Alvaro Fernandez,Obrońca,Real Racing Club,Hiszpania,LaLiga,sofascore
Etienne Eto'o Pineda,Napastnik,Rayo Vallecano,Hiszpania,LaLiga,flashscore~fuzzy
Raul de Tomas,Napastnik,Rayo Vallecano,Hiszpania,LaLiga,sofascore
Ivan Alonso Martin,Napastnik,Rayo Vallecano,Hiszpania,LaLiga,sofascore
Pathe Ismael Ciss,Pomocnik,Rayo Vallecano,Hiszpania,LaLiga,flashscore~fuzzy
Samu Becerra,Pomocnik,Rayo Vallecano,Hiszpania,LaLiga,sofascore
Luiz Felipe,Obrońca,Rayo Vallecano,Hiszpania,LaLiga,sofascore
Jones El-Abdellaoui,Napastnik,Celta Vigo,Hiszpania,LaLiga,sofascore
Carles Perez,Pomocnik,Celta Vigo,Hiszpania,LaLiga,sofascore
Damian Rodriguez,Pomocnik,Celta Vigo,Hiszpania,LaLiga,sofascore
Javi Rodriguez,Obrońca,Celta Vigo,Hiszpania,LaLiga,sofascore
Manu Fernandez,Obrońca,Celta Vigo,Hiszpania,LaLiga,sofascore
Joel Lopez Salguero,Obrońca,Celta Vigo,Hiszpania,LaLiga,flashscore~fuzzy
Mohamed Bouldini,Napastnik,Deportivo de A Coruna,Hiszpania,LaLiga,sofascore
Bil Nsongo,Napastnik,Deportivo de A Coruna,Hiszpania,LaLiga,sofascore
Ruben Lopez,Pomocnik,Deportivo de A Coruna,Hiszpania,LaLiga,sofascore
Jose Angel Jurado,Pomocnik,Deportivo de A Coruna,Hiszpania,LaLiga,flashscore~fuzzy
Jairo Noriega,Pomocnik,Deportivo de A Coruna,Hiszpania,LaLiga,sofascore
Enrique Teijo,Obrońca,Deportivo de A Coruna,Hiszpania,LaLiga,sofascore
Kwame Sosu,Napastnik,Real Betis,Hiszpania,LaLiga,sofascore
Abdessamad Ezzalzouli,Pomocnik,Real Betis,Hiszpania,LaLiga,sofascore
Borja Alonso,Pomocnik,Real Betis,Hiszpania,LaLiga,sofascore
Ivan Corralejo,Pomocnik,Real Betis,Hiszpania,LaLiga,flashscore~fuzzy
Rica Funez,Pomocnik,Real Betis,Hiszpania,LaLiga,sofascore
Gnangoro Bouare Samake,Pomocnik,Real Betis,Hiszpania,LaLiga,sofascore
Jean Emmanuel  N'Agoran,Obrońca,Real Betis,Hiszpania,LaLiga,sofascore
Endrick,Napastnik,Real Madrid,Hiszpania,LaLiga,sofascore
Manuel Angel Moran,Pomocnik,Real Madrid,Hiszpania,LaLiga,flashscore~fuzzy
Gorka Carrera Zarranz,Napastnik,Real Sociedad,Hiszpania,LaLiga,flashscore~fuzzy
Dani Diaz,Pomocnik,Real Sociedad,Hiszpania,LaLiga,sofascore
Mikel Goti,Pomocnik,Real Sociedad,Hiszpania,LaLiga,flashscore~fuzzy
Alex Lebarbier,Pomocnik,Real Sociedad,Hiszpania,LaLiga,sofascore
Rafa Mir,Napastnik,Sevilla,Hiszpania,LaLiga,sofascore
Alfon Gonzalez,Napastnik,Sevilla,Hiszpania,LaLiga,sofascore
Miguel Angel Sierra Ortega,Napastnik,Sevilla,Hiszpania,LaLiga,flashscore~fuzzy
Manuel Angel Castillo,Napastnik,Sevilla,Hiszpania,LaLiga,sofascore
Jesus Acuna,Napastnik,Sevilla,Hiszpania,LaLiga,sofascore
Peque Fernandez,Pomocnik,Sevilla,Hiszpania,LaLiga,sofascore
Manu Bueno,Pomocnik,Sevilla,Hiszpania,LaLiga,sofascore
Ibra Sow,Pomocnik,Sevilla,Hiszpania,LaLiga,sofascore
Jesus Cruz,Pomocnik,Sevilla,Hiszpania,LaLiga,sofascore
Francisco Javier Lociga,Pomocnik,Sevilla,Hiszpania,LaLiga,sofascore
Hugo Ortiz Rodriguez,Pomocnik,Sevilla,Hiszpania,LaLiga,sofascore
Marcao,Obrońca,Sevilla,Hiszpania,LaLiga,sofascore
Juan Iglesias,Pomocnik,Sevilla,Hiszpania,LaLiga,flashscore~fuzzy
Andres Castrin,Obrońca,Sevilla,Hiszpania,LaLiga,sofascore
Mario Diaz,Obrońca,Sevilla,Hiszpania,LaLiga,sofascore
Sergio Martinez,Obrońca,Sevilla,Hiszpania,LaLiga,sofascore
Jorge Moreno,Obrońca,Sevilla,Hiszpania,LaLiga,sofascore
Alberto Mari,Napastnik,Valencia,Hiszpania,LaLiga,sofascore
Javier Guerra,Pomocnik,Valencia,Hiszpania,LaLiga,sofascore
Diego Lopez,Pomocnik,Valencia,Hiszpania,LaLiga,sofascore
Sergi Canos,Pomocnik,Valencia,Hiszpania,LaLiga,sofascore
Jose Luis Gaya,Obrońca,Valencia,Hiszpania,LaLiga,flashscore~fuzzy
Amos Wanjala,Obrońca,Valencia,Hiszpania,LaLiga,sofascore
Ruben Iranzo,Obrońca,Valencia,Hiszpania,LaLiga,sofascore
Rodrigo Gamon,Obrońca,Valencia,Hiszpania,LaLiga,sofascore
Tani Oluwaseyi,Napastnik,Villarreal,Hiszpania,LaLiga,sofascore
Ilias Akhomach,Pomocnik,Villarreal,Hiszpania,LaLiga,sofascore
Cheikh Tidiane Thiam,Pomocnik,Villarreal,Hiszpania,LaLiga,sofascore
Nizar El Jmili,Pomocnik,Villarreal,Hiszpania,LaLiga,sofascore
Cesar Bonafe Ceita,Pomocnik,Villarreal,Hiszpania,LaLiga,sofascore
Juan Foyth,Obrońca,Villarreal,Hiszpania,LaLiga,sofascore
Alexander Freeman,Obrońca,Villarreal,Hiszpania,LaLiga,sofascore
Lautaro Spatz,Obrońca,Villarreal,Hiszpania,LaLiga,sofascore
Moussa Diallo,Obrońca,Villarreal,Hiszpania,LaLiga,sofascore
Cesar Bonafe,Obrońca,Villarreal,Hiszpania,LaLiga,sofascore
Eros Maddy,Napastnik,Auxerre,Francja,Ligue 1,sofascore
Romain Faivre,Pomocnik,Auxerre,Francja,Ligue 1,sofascore
Rayan Mandengue,Pomocnik,Auxerre,Francja,Ligue 1,sofascore
Lamfia Dioubate,Pomocnik,Auxerre,Francja,Ligue 1,sofascore
Alvin Petit Dol,Obrońca,Auxerre,Francja,Ligue 1,sofascore
Ackah-Tidiane Thiongane-Zoukrou,Obrońca,Auxerre,Francja,Ligue 1,sofascore
Mamadou Usman Simbakoli,Napastnik,Angers,Francja,Ligue 1,flashscore~fuzzy
Haris Belkebla,Pomocnik,Angers,Francja,Ligue 1,sofascore
Yassin Belkhdim,Pomocnik,Angers,Francja,Ligue 1,sofascore
Lucas Michal,Napastnik,AS Monaco,Francja,Ligue 1,sofascore
Oumar Konate,Napastnik,AS Monaco,Francja,Ligue 1,sofascore
Takumi Minamino,Pomocnik,AS Monaco,Francja,Ligue 1,sofascore
Stanis Idumbo Muzambo,Pomocnik,AS Monaco,Francja,Ligue 1,flashscore~fuzzy
Aymen Assab,Pomocnik,AS Monaco,Francja,Ligue 1,sofascore
Najd Ajroud,Pomocnik,AS Monaco,Francja,Ligue 1,sofascore
Matthias Oyatambwe,Pomocnik,AS Monaco,Francja,Ligue 1,flashscore~fuzzy
Mohammed Salisu,Obrońca,AS Monaco,Francja,Ligue 1,sofascore
Nick Mokabakila,Obrońca,AS Monaco,Francja,Ligue 1,sofascore
Amar Fatah,Napastnik,Troyes,Francja,Ligue 1,sofascore
Renaud Ripart,Napastnik,Troyes,Francja,Ligue 1,sofascore
Elijah Olaniyi Odede,Napastnik,Troyes,Francja,Ligue 1,flashscore~fuzzy
Michel Diaz,Obrońca,Troyes,Francja,Ligue 1,flashscore~fuzzy
Thierno Balde,Obrońca,Troyes,Francja,Ligue 1,sofascore
Paolo Gozzi,Obrońca,Troyes,Francja,Ligue 1,flashscore~fuzzy
Tom Akpakoun,Obrońca,Troyes,Francja,Ligue 1,sofascore
Tom Chupin,Obrońca,Troyes,Francja,Ligue 1,sofascore
Fred Onambele,Obrońca,Troyes,Francja,Ligue 1,flashscore~fuzzy
Jean Victor Makengo,Napastnik,Lorient,Francja,Ligue 1,sofascore
Arthur Avom Ebong,Pomocnik,Lorient,Francja,Ligue 1,flashscore~fuzzy
Antton Mouledous,Pomocnik,Lorient,Francja,Ligue 1,sofascore
Elysee Logbo,Napastnik,Le Havre,Francja,Ligue 1,sofascore
Enzo Koffi,Napastnik,Le Havre,Francja,Ligue 1,flashscore~fuzzy
Ismail Bouneb,Pomocnik,Le Havre,Francja,Ligue 1,sofascore
Daren Mosengo,Pomocnik,Le Havre,Francja,Ligue 1,flashscore~fuzzy
Guy-Noel Zohouri,Pomocnik,Le Havre,Francja,Ligue 1,sofascore
Timothee Pembele,Obrońca,Le Havre,Francja,Ligue 1,sofascore
Nathan Tronchet,Obrońca,Le Mans,Francja,Ligue 1,sofascore
Tayson Franquet,Obrońca,Le Mans,Francja,Ligue 1,sofascore
Mathis Gaudin,Obrońca,Le Mans,Francja,Ligue 1,sofascore
Hamza Igamane,Napastnik,Lille,Francja,Ligue 1,sofascore
Mohamed Bayo,Napastnik,Lille,Francja,Ligue 1,sofascore
Matah Yondjio,Napastnik,Lille,Francja,Ligue 1,sofascore
Tiago Morais,Napastnik,Lille,Francja,Ligue 1,sofascore
Alexsandro Ribeiro,Obrońca,Lille,Francja,Ligue 1,sofascore
Ousmane Toure,Obrońca,Lille,Francja,Ligue 1,sofascore
Terem Moffi,Napastnik,Nice,Francja,Ligue 1,sofascore
Mohamed Ali Cho,Napastnik,Nice,Francja,Ligue 1,sofascore
Kevin Carlos Omoruyi,Napastnik,Nice,Francja,Ligue 1,sofascore
Ibrahim Camara,Napastnik,Nice,Francja,Ligue 1,sofascore
Enguerrand Bouard,Napastnik,Nice,Francja,Ligue 1,sofascore
Issiaga Camara,Pomocnik,Nice,Francja,Ligue 1,sofascore
Xavier Mandza,Pomocnik,Nice,Francja,Ligue 1,sofascore
Kojo Peprah Oppong,Obrońca,Nice,Francja,Ligue 1,flashscore~fuzzy
Moise Bombito,Obrońca,Nice,Francja,Ligue 1,sofascore
Mattia Viti,Obrońca,Nice,Francja,Ligue 1,sofascore
Mohamed Ouedraogo,Pomocnik,Olympique Lyonnais,Francja,Ligue 1,sofascore
Mahamadou Diawara,Pomocnik,Olympique Lyonnais,Francja,Ligue 1,sofascore
Paul Akouokou,Pomocnik,Olympique Lyonnais,Francja,Ligue 1,sofascore
Duje Caleta-Car,Obrońca,Olympique Lyonnais,Francja,Ligue 1,sofascore
Melvyn Otobo,Obrońca,Olympique Lyonnais,Francja,Ligue 1,sofascore
Ange Lago,Napastnik,Olympique de Marseille,Francja,Ligue 1,sofascore
